Full_Name,Symbol,Original_File_Name,Date_Format,Column,Oldest,URL
ISM Manufacturing Employment,US_ISM_MFC_EMPL,united-states.ism-manufacturing-employment.csv,yyyy.mm.dd,2,2013-11-01,https://www.mql5.com/en/economic-calendar/united-states/ism-manufacturing-employment/export
Bitcoin USD (BTC-USD),BTC_USD,BTC-USD.csv,yyyy-mm-dd,6,2014-09-17,https://query1.finance.yahoo.com/v7/finance/download/BTC-USD?period1=1410825600&period2=1602633600&interval=1d&events=history&includeAdjustedClose=true
Alibaba Group Holding Limited (BABA),BABA,BABA.csv,yyyy-mm-dd,6,2014-09-19,https://query1.finance.yahoo.com/v7/finance/download/BABA?period1=1411084800&period2=1602633600&interval=1d&events=history&includeAdjustedClose=true
ARK Next Generation Internet ETF (ARKW),ARKW,ARKW.csv,yyyy-mm-dd,6,2014-09-30,https://query1.finance.yahoo.com/v7/finance/download/ARKW?period1=1412035200&period2=1608249600&interval=1d&events=history&includeAdjustedClose=true
ARK Innovation ETF (ARKK),ARKK,ARKK.csv,yyyy-mm-dd,6,2014-10-31,https://query1.finance.yahoo.com/v7/finance/download/ARKK?period1=1414713600&period2=1608249600&interval=1d&events=history&includeAdjustedClose=true
India Goods Trade Balance,IND_TRD_BALANCE,india.goods-trade-balance.csv,yyyy.mm.dd,2,2015-03-10,https://www.mql5.com/en/economic-calendar/india/goods-trade-balance/export
United States Housing Starts m/m,US_HOUS_STRS_M,united-states.housing-starts-mm.csv,yyyy.mm.dd,2,2016-01-12,https://www.mql5.com/en/economic-calendar/united-states/housing-starts-mm/export
CRISPR Therapeutics AG (CRSP),CRSP,CRSP.csv,yyyy-mm-dd,6,2016-10-19,https://query1.finance.yahoo.com/v7/finance/download/CRSP?period1=1476835200&period2=1607299200&interval=1d&events=history&includeAdjustedClose=true
ARK Genomic Revolution ETF (ARKG),ARKG,ARKG.csv,yyyy-mm-dd,6,2019-12-27,https://query1.finance.yahoo.com/v7/finance/download/ARKG?period1=1577404800&period2=1608249600&interval=1d&events=history&includeAdjustedClose=true
ARK Autonomous Technology & Robotics ETF (ARKQ),ARKQ,ARKQ.csv,yyyy-mm-dd,6,2019-12-31,https://query1.finance.yahoo.com/v7/finance/download/ARKQ?period1=1577750400&period2=1608249600&interval=1d&events=history&includeAdjustedClose=true
